blocker_id,priority,source_title,source_type,doi_or_identifier,url,license_or_access,data_content,acceptance_fit,recommended_action,redistribution_status,notes
G1,Tier 1,Dynamics of liquid infiltration into an espresso coffee bed,peer-reviewed paper,10.1063/5.0248132,https://pubs.aip.org/aip/pof/article/37/1/013383/3332668/Dynamics-of-liquid-infiltration-into-an-espresso,publisher HTML accessible,time-resolved wetting-front imaging and sharp-front model,does not qualify,Use as evidence that θ(ψ) and K(S) remain missing; run or request retention experiment.,do not redistribute article,Paper explicitly states continuous saturation needs capillary-pressure/saturation and permeability/saturation data.
G3,Tier 1,Perfectly Calibrating Decent Flow Measurements,official manufacturer documentation,,https://decentespresso.com/blog/perfectly_calibrating_decent_flow_measurements,public web page,description of firmware pump model and voltage/frequency-dependent scalar flow calibration,context only; no Q(P) curve,Request engineering bench data or perform the included bench protocol.,link only,Official material confirms scalar calibration is not the requested pump characteristic.
G3,Tier 1,DE1app v1.45 graphical flow calibrator,official software documentation,,https://decentespresso.com/blog/whats_new_in_de1app_v145,public web page,scale-derived versus pump-estimated flow calibration workflow,context only,Use the same scale comparison during a pressure sweep.,link only,"Supports a practical measurement route, not a published pump curve."
G10,Tier 1,"The experimental data on the density, viscosity, and boiling temperature of the coffee extract",open conference paper,10.1088/1755-1315/548/2/022040,https://doi.org/10.1088/1755-1315/548/2/022040,CC BY 3.0,measured kinematic viscosity grid; dynamic-viscosity regressions; density regression,partial,Ingest measured kinematic table only; quarantine both printed closure equations pending author/source clarification.,transcribed tables included with attribution,"15–70 wt% solids; 20–80 C. Density sign conflicts with prose, and literal viscosity regression evaluation conflicts with Table 1-derived values."
G10,Tier 1,Temperature and water content influence on thermophysical properties of coffee extract,peer-reviewed paper,10.1080/10942910009524642,https://doi.org/10.1080/10942910009524642,publisher access; full tabular data not obtained,reported coffee-extract density/thermophysical data,strong candidate,Acquire full text/data; compare density coefficient and extend toward 10 wt% solids.,citation only,Reported domain 10–50% solids and 30–82 C.
G10,Tier 1,Rheological properties and fluid dynamics of coffee extract,peer-reviewed paper,10.1111/j.1745-4530.2001.tb00541.x,https://doi.org/10.1111/j.1745-4530.2001.tb00541.x,publisher access; full tabular data not obtained,viscosity/rheological model versus concentration and temperature,strong candidate,Acquire full text/data; use to validate or replace the 2020 viscosity closure.,citation only,Reported domain 10–51% solids and 18–92 C; non-Newtonian above about 36% solids.
G2,Tier 1,Mesoscopic modelling and simulation of espresso coffee extraction,peer-reviewed paper/open conference manuscript,10.1016/j.jfoodeng.2019.05.038,https://upcommons.upc.edu/bitstreams/7992d37d-d17a-40cc-9f93-7d8e2bd8486d/download,open institutional PDF; journal article also available through author repository,direct/inverse-discharge protocol and experimental overlay,partial,Digitize the experimental overlay; request raw points and ASIC scans.,notes/template only,"Provides τ_v=0.16 s and dimensionless forcing schedule, not raw experimental series."
G2,Tier 1,Espresso coffee brewing dynamics: development of mathematical and computational model,ASIC proceedings,"15th ASIC, 1993",,not located online,historical transient-discharge evidence,target,Request scan/data from ASIC and illy archives.,not acquired,Petracco & Suggi Liverani.
G2,Tier 1,A reaction-diffusion computational model to simulate coffee percolation,ASIC proceedings,"17th ASIC, 1997",,not located online,historical direct/inverse-discharge reference,target,Request scan/data from ASIC and illy archives.,not acquired,Bandini et al.
0.6,Tier 1,A model for the permeability of coffee pucks validated using X-ray computed micro-tomography,peer-reviewed paper,10.1098/rsos.252031,https://strathprints.strath.ac.uk/95930/,CC BY 4.0 article; supplement link not retrievable,paper and Table 1; promised supplementary material,PSD archive not acquired,Send follow-up asking for the 22-distribution ZIP or persistent data DOI.,article link only,Two coffees × 11 grind settings; raw R/R_min/R_max arrays still pending.
0.8,Tier 2,A preliminary model to establish a digital twin for coffee roasting,open peer-reviewed paper,10.1038/s41598-026-43923-9,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,"Table 2: four origins × ten roasted-coffee compounds, mean ± SD, n=3",qualifies fully,Ingest `bruno2026_roasted_composition.csv`; add manifest row and loader smoke test.,transcribed table included with attribution,Only Tier 2 item that was genuinely outstanding.
visualizer (0.13),Tier 2,visualizer.coffee public shot corpus,public REST API + user-contributed database,openapi.yaml v1.13.0,https://visualizer.coffee/api,MIT app code only; shot CORPUS has NO research-use license (user-contributed); public read API,machine-logged hydraulic time series + user-entered TDS/EY/sensory (two separate tiers),data-only reference-strength ECOLOGICAL population (G3/P2/P6); NOT controlled; outcomes not groundtruth,"Request sanctioned bulk/research use from Miha Rekar (VISUALIZER_MIHA_CORPUS_REQUEST_EMAIL.md); meanwhile polite public-API harvest (in place, 0.13).",corpus NOT redistributed (gitignored); only harvester code + aggregate stats public,"privacy: identifying + free-text fields dropped at ingest, salted one-way user-id hash only; ROADMAP §5.8 row; card visualizer_coffee; gates redistribution/publication use, not internal calibration"
