calibration_component,stage,provenance_class,evidence_strength_verbatim,declared_validity_range_verbatim,gates,possible_downstream_same_stage,consuming_path_established,candidate_ids
brewer2026.lb_reference,flow,project_model,code_verification,verification twin; production runs use lb_taichi,gate_lb_channel,wadsworth2026.inertial,no,I-001 | I-017
brewer2026.lb_taichi,flow,project_model,code_verification,CPU/GPU; optional dependency taichi,,wadsworth2026.inertial,no,I-002 | I-017
brewer2026.pack_generator,packing,project_model,qualitative_capacity,grain radius >= 10 voxels; columns >= 5 grain diameters for sigma,gate_pack_generator_admissible,,no,I-003 | I-017 | I-025
fasano2000_partI.fines_migration,bed_dynamics,published_port,qualitative_capacity,"MECHANISM demonstration / verification strength ONLY (the card's own level for the source). Reproduces the STRUCTURE: mass balance 8.33 closed <1%, q(t) monotone-nonincreasing (Lemma 8.3), s>=s_m (Lemma 8.1), nonmonotone q_inf(p0) with interior peak (Fig 8.6 shape). Does NOT reproduce their exact curve (closures unpublished); enters by GATE not inheritance, like RC-3b. No espresso-data fit possible",gate_fasano_freeboundary | gate_fasano_cor82_nonmonotone | gate_fasano_reversal_signature,brewer2026.coupled_kappa_t | brewer2026.streamtube | mo2023_2.swelling | waszkiewicz2025.poroelastic,no,I-004 | I-027 | I-029 | I-030 | I-060 | I-081 | I-082 | I-093
lee2023.feedback,flow,published_port,qualitative_capacity,Cameron 2020 EK43 g=1.1-2.3; grinder maps t_shot(g)/S(g) fitted to Cameron; QUALITATIVE fine-grind-dip hypothesis (c) ONLY. The DECLINE needs an UNPHYSICAL rho_c=798 (2x measured); the physical rho_c=399 gives only a PLATEAU (documented negative result). Not a data-fitting component; brings no new data,gate_lee_feedback_negative_result,wadsworth2026.inertial,no,I-005 | I-026 | I-027 | I-029 | I-033 | I-064 | I-067 | I-068 | I-069 | I-081 | I-085 | I-093
liang2021.desorption,extraction,published_port,post_fit_reconstruction,R_brew>=3 (fails at 2); 80-99 C immersion; supplies equilibrium ceiling + oven-dry/retention observable kernel only,gate_liang_kemax_refit | gate_liang_eoven_ceiling,cameron2020.extraction_bdf | grudeva2025.reduced | mo2023_2.coupled_bed | pannusch2024.solver | romancorrochano2017.extraction,no,I-006 | I-026
maille2024.phi_closure,grind,published_port,code_verification,"INSTRUMENT-SPECIFIC: Malvern 100-bin scale, bin 75 ~ 186 um cut, liquid/air hybrid splice. phi from any other PSD representation is a DIFFERENT quantity. Source phi 0.356-0.648 over D[4,3] 537-1540 um (drip-coarse) -- cameron's espresso PSDs give 0.85-0.94, an EXTRAPOLATION. Per-bin PSD arrays are UNPUBLISHED, so Eqs 6.8-6.9 cannot be run end-to-end from the source; the E1 gate uses the D[4,3] single-diameter approximation",gate_maille_e1_shell_depth | gate_maille_phi_closure_consistency | gate_maille_phi_split_vs_cameron,,no,I-007 | I-019 | I-024 | I-025 | I-026 | I-027 | I-033 | I-034 | I-035 | I-085 | I-086 | I-087
maille2024.two_regime,extraction,published_port,source_curve_reproduction,"stirred atmospheric BATCH reactor at 91.5 C, 0.028 g/mL, single Colombian lot, two roasts, five species, 5-600 s with the first ~4 s unobserved. NO bed, NO pressure, NO flow, NO permeability, NO EY, NO TDS -- it cannot yield a yield, and ShotResultState is unreachable. Grind is DRIP-COARSE (D[4,3] 537-1540 um); any use at espresso grind is EXTRAPOLATION. lambda are per-material curve fits, not material properties -- they transfer nowhere on their own",gate_maille_two_regime_reproduction | gate_maille_kinetics_ci_flags | gate_maille_timescale_portability_cameron | gate_maille_timescale_portability_roman,cameron2020.extraction_bdf | grudeva2025.reduced | mo2023_2.coupled_bed | pannusch2024.solver | romancorrochano2017.extraction,no,I-008 | I-019 | I-024 | I-025 | I-026 | I-027 | I-033 | I-034 | I-035 | I-062 | I-063 | I-085 | I-086 | I-087
moroney2016.surrogate,extraction,published_port,qualitative_capacity,"saturated bed; eps=0.127 (~13% truncation); Fig 6 reproduction QUALITATIVE (plateau + wash-through timing, not the tail)",gate_moroney_fig6_washthrough | gate_moroney2015_kappa_anchors | gate_moroney2019_ldf_verification | gate_moroney2015_batch_ode,cameron2020.extraction_bdf | grudeva2025.reduced | mo2023_2.coupled_bed | pannusch2024.solver | romancorrochano2017.extraction,no,I-009 | I-026 | I-027 | I-033 | I-034 | I-063 | I-074 | I-085 | I-086 | I-093
pannusch2024.closures,extraction,published_port,code_verification,"T 80-98 C, Q 1-3 mL/s; fitted Sherwood params lack generality; Wilke-Chang over-predicts absolute D but is the model's own law",gate_pannusch_closures,cameron2020.extraction_bdf | grudeva2025.reduced | mo2023_2.coupled_bed | pannusch2024.solver | romancorrochano2017.extraction,no,I-010 | I-021 | I-024 | I-026 | I-027 | I-033 | I-034 | I-035 | I-036 | I-061 | I-062 | I-063 | I-075 | I-085 | I-086 | I-087 | I-088
