claim_id,headline,key,value,unit,evidence_strength,badge,dataset_manifest_ids,source_commit
PV-01,The first liquid out of this espresso puck was already about 97% as concentrated as the peak.,early_over_peak,0.968,ratio,independent,OBSERVED,waszkiewicz2025/tds_fractions,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-01,The first liquid out of this espresso puck was already about 97% as concentrated as the peak.,early_tds_pct,24.36,% TDS,independent,OBSERVED,waszkiewicz2025/tds_fractions,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-01,The first liquid out of this espresso puck was already about 97% as concentrated as the peak.,peak_tds_pct,25.16,% TDS,independent,OBSERVED,waszkiewicz2025/tds_fractions,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-01,The first liquid out of this espresso puck was already about 97% as concentrated as the peak.,boulder_diffusion_timescale_s,23.1,s,independent,OBSERVED,waszkiewicz2025/tds_fractions,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-02,A flow dip can come from the espresso machine even when the puck model does nothing — but some traces DO need a time-varying bed.,dynamic_rmse_g_per_s,0.116,g/s,post-fit reconstruction,RECONSTRUCTED,waszkiewicz2025/traces_time_dependent,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-02,A flow dip can come from the espresso machine even when the puck model does nothing — but some traces DO need a time-varying bed.,best_constant_null_rmse_g_per_s,0.573,g/s,post-fit reconstruction,RECONSTRUCTED,waszkiewicz2025/traces_time_dependent,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-02,A flow dip can come from the espresso machine even when the puck model does nothing — but some traces DO need a time-varying bed.,improvement_factor,4.9,x,post-fit reconstruction,RECONSTRUCTED,waszkiewicz2025/traces_time_dependent,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-04,We thought a model had explained the fine-grind espresso dip — then we checked the units and the raw replicates.,ey_dial_1p4_pct,18.27,% EY,independent,OBSERVED,schmieder2023/cup_masses;schmieder2023/rsm_coefficients,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-04,We thought a model had explained the fine-grind espresso dip — then we checked the units and the raw replicates.,ey_dial_1p7_pct,19.38,% EY,independent,OBSERVED,schmieder2023/cup_masses;schmieder2023/rsm_coefficients,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-04,We thought a model had explained the fine-grind espresso dip — then we checked the units and the raw replicates.,ey_dial_2p0_pct,19.62,% EY,independent,OBSERVED,schmieder2023/cup_masses;schmieder2023/rsm_coefficients,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-04,We thought a model had explained the fine-grind espresso dip — then we checked the units and the raw replicates.,mid_vs_coarse_contrast_EYpt,-0.241,EY-points,independent,OBSERVED,schmieder2023/cup_masses;schmieder2023/rsm_coefficients,82bb3d339f35b521bea8dc7a88428c84f024c1d3
