model,stage,evidence_strength,pressure,flow,first_drip_time,wetting_front,permeability,porosity,extraction_yield,tds,species_concentration,fraction_history,cumulative_mass,bed_deformation,fines_distribution,temperature,particle_size
brewer2026.coupled_kappa_t,bed_dynamics,exploratory_synthesis,-,predicts,-,-,predicts,predicts,-,-,-,-,-,predicts,-,-,-
brewer2026.lb_reference,flow,code_verification,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
brewer2026.lb_taichi,flow,code_verification,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
brewer2026.pack_generator,packing,qualitative_capacity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
brewer2026.streamtube,bed_dynamics,within_campaign_held_out,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cameron2020.extraction_bdf,extraction,code_verification,predicts,predicts,-,-,predicts,-,-,-,-,-,-,-,-,-,-
fasano2000_partI.fines_migration,bed_dynamics,qualitative_capacity,-,predicts,-,-,predicts,-,-,-,-,-,-,-,-,-,-
foster2025.infiltration,infiltration,sign_or_compatibility,-,-,predicts,predicts,-,-,-,-,-,-,-,-,-,-,-
foster2025.machine_mode,machine,source_curve_reproduction,-,-,predicts,predicts,-,-,-,-,-,-,-,-,-,-,-
grudeva2025.reduced,extraction,post_fit_reconstruction,-,-,-,-,-,-,predicts,predicts,-,-,-,-,-,-,-
lee2023.feedback,flow,qualitative_capacity,-,-,-,-,predicts,-,predicts,-,-,-,-,-,-,-,-
liang2021.desorption,extraction,post_fit_reconstruction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
maille2024.phi_closure,grind,code_verification,-,-,-,-,-,-,predicts,predicts,predicts,-,-,-,-,-,-
maille2024.two_regime,extraction,source_curve_reproduction,-,-,-,-,-,-,predicts,predicts,predicts,-,-,-,-,-,-
mo2023_2.coupled_bed,extraction,post_fit_reconstruction,-,-,-,-,-,-,predicts,predicts,-,-,-,-,-,-,-
mo2023_2.swelling,bed_dynamics,source_curve_reproduction,-,-,-,-,-,-,predicts,predicts,-,-,-,-,-,-,-
moroney2016.surrogate,extraction,qualitative_capacity,-,-,-,-,-,-,predicts,predicts,-,-,-,-,-,-,-
pannusch2024.closures,extraction,code_verification,-,-,-,-,-,-,predicts,predicts,predicts,-,predicts,-,-,-,-
pannusch2024.solver,extraction,post_fit_reconstruction,-,-,-,-,-,-,predicts,predicts,predicts,-,predicts,-,-,-,-
romancorrochano2017.extraction,extraction,sign_or_compatibility,-,-,-,-,-,-,predicts,predicts,-,-,-,-,-,-,-
sourcing2026.g10_liquor_rheology,flow,source_curve_reproduction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sourcing2026.g1_glassbead_analog,infiltration,qualitative_capacity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sourcing2026.g3_pump_characteristic,machine,sign_or_compatibility,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wadsworth2026.grindmap,grind,source_curve_reproduction,-,-,-,-,-,predicts,-,-,-,predicts,-,-,predicts,-,predicts
wadsworth2026.inertial,flow,source_curve_reproduction,-,predicts,-,-,predicts,-,-,-,-,-,-,-,-,-,-
wadsworth2026.permeability,packing,source_curve_reproduction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
waszkiewicz2025.poroelastic,bed_dynamics,post_fit_reconstruction,predicts,predicts,-,-,predicts,-,-,-,-,-,predicts,-,-,-,-
