record_id,record_type,typed_reason,detail
c01,observation,MASS_BASIS_UNRESOLVED,Bruno alkaloid rows do not state dry basis and have no same-batch moisture
c05,source,RIGHTS_OR_ACCESS_BLOCKED,Casal exact individual numerical table unavailable
c06,source,RIGHTS_OR_ACCESS_BLOCKED,thermal-degradation exact individual numerical table unavailable
c07,source,NUMERIC_TABLE_UNAVAILABLE,public proceedings page describes 60 samples but exposes no individual table
c08,source,MASS_BASIS_UNRESOLVED,source-reported basis not confirmed as dry roasted coffee in bounded screen
c09,source,MASS_BASIS_UNRESOLVED,source-reported basis not confirmed as dry roasted coffee in bounded screen
c10,source,PRIMARY_ELIGIBILITY_NOT_ESTABLISHED,same-material dry-basis and uncertainty support incomplete
c11,source,PRIMARY_ELIGIBILITY_NOT_ESTABLISHED,exact row semantics basis rights and lineage require future intake
c12,source,PRIMARY_ELIGIBILITY_NOT_ESTABLISHED,exact row semantics basis and lineage require future intake
pannusch2024,observation,FITTED_SOLID_PHASE_CONCENTRATION,mg/mL solid phase not converted to mg/g coffee
schmieder2023,observation,ASYMPTOTIC_EXTRACTION_ESTIMATE,multiple brew programs remain one coffee/source lineage
