dataset_id,source_card_as_written,source_card_resolved,validation_strength_verbatim,derived_lineage_tags,uncertainty_retained,extraction_method,same_source_consumers,claims_using_it,caveat_verbatim
angeloni2023/bioactives,angeloni2023,angeloni2023,independent (different machine/coffee/basket than pannusch fit or cameron calibration),independent,"%RSD 0.3-19.7 (in card, not per-cell)","transcription (article tables, xlsx drop)",,PV-03,"66 shots (33 A + 33 R); 11 species; on_grid flags 54 calib vs 12 off-grid; 'Average' row dropped | PER-CONDITION analysis (gate_pannusch_angeloni_per_condition) maps angeloni pressure->flow by a REFINED Darcy map q~p/mu(T) (registered water viscosity; single physical anchor, granulometry O; NOT fitted to the concentrations); a crude linear-tau baseline is also available. The refinement closes ~5 pp of the gap (31->26% overall; caffeine to ~15% with inventory-matching). The residual >> angeloni's ~9-13% is cross-coffee INVENTORY + per-species KINETIC mismatch, not flow -- closable only by refitting to the angeloni coffee. Treat per-condition MAPE as regime-level, not accuracy-grade."
angeloni2023/inventories,angeloni2023,angeloni2023,independent (measured R&G assay; different machine/coffee/basket),independent | mixed_strength | raw_measurement,n,transcription (article tables; no repository),,PV-03,"8 species x 2 varieties; the 66-shot chemistry (Tables 2-5) is a PENDING drop -- not in card, MDPI unreachable"
angeloni2023/lipids,angeloni2023,angeloni2023,independent (different machine/coffee/basket than pannusch fit or cameron calibration),independent,y (%RSD per shot),"transcription (article tables, xlsx drop)",,,66 shots
angeloni2023/total_solids,angeloni2023,angeloni2023,independent (different machine/coffee/basket than pannusch fit or cameron calibration),independent,y (%RSD per shot),"transcription (article tables, xlsx drop)",,PV-03,"66 shots; TS g/100mL ~ TDS %; cameron reads ~2-4 pts LOW (bracket miss, informative) | PER-CONDITION analysis (gate_pannusch_angeloni_per_condition) maps angeloni pressure->flow by a REFINED Darcy map q~p/mu(T) (registered water viscosity; single physical anchor, granulometry O; NOT fitted to the concentrations); a crude linear-tau baseline is also available. The refinement closes ~5 pp of the gap (31->26% overall; caffeine to ~15% with inventory-matching). The residual >> angeloni's ~9-13% is cross-coffee INVENTORY + per-species KINETIC mismatch, not flow -- closable only by refitting to the angeloni coffee. Treat per-condition MAPE as regime-level, not accuracy-grade."
angeloni2023/total_solids_lipids_rsd,angeloni2023,angeloni2023,independent (measured condition-level RSD); NOT solute-specific for named analytes,independent | mixed_strength | raw_measurement,y,transcription (programmatic parse + independent check; TB-2 handoff 2026-07-13),,,"66 conditions x (TS+lipid)=132 mean/RSD pairs; 'almost in duplicate' n_reported=2 qualified; A21 lipid RSD printed 0.0% = rounded (apply variance floor, not infinite weight); caffeine/trigonelline/CGA solute-specific RSD NOT recovered (Tables 4-5 give only global ranges 0.3-19.7%); raw replicates still owed. See angeloni2023/MANIFEST_UNCERTAINTY.md + docs/data_intake/ANGELONI_TRANSCRIPTION_AUDIT.md."
bruno2026/roasted_composition,bruno2026,bruno2026,independent (measured roasted chemistry; reference set),independent | mixed_strength | raw_measurement | reference_only,y (SD; n=3),transcription (open PDF),,,"Roasting is UPSTREAM of every registry stage -> DATA-ONLY (the Bruno ODE model is NOT implemented, per card: over-parameterised non-identifiable fit). mg/kg roasted powder (non-lipid); lipids % w/w dry basis. Bean-averaged; no solubility/diffusivity/partitioning (bruno card) -> use as an inventory PRIOR only, never Bruno-ODE -> extraction. Medium Arabica (Mexico/Rwanda) + hard-roast Robusta (Nicaragua/Indonesia)."
cameron2020/fig5_grind_deviation,cameron2020,cameron2020,independent (measured EY deviation from the homogeneous model),independent | mixed_strength | raw_measurement,n,"transcription (values stated in the streamtube module docstring, from Cameron Fig 5)",cameron2020.extraction_bdf,,3 in-campaign grinds GS 1.1/1.3/1.5 (rel deviation 0.131/0.061/0.026); LOO over only 3 points
cameron2020/psd_figure2,cameron2020,cameron2020,"reference (measured PSD; the model itself uses a two-size-class idealisation, NOT this distribution)",mixed_strength | raw_measurement | reference_only,n,"figure digitization (volume% vs diameter, 4 grind settings)",cameron2020.extraction_bdf,,"Gs 1.0/1.5/2.0/2.5, ~1-1900 um; enables maille's phi closure to be applied to Cameron's grind (an extrapolation above maille's own coarse-grind range)"
de1_fixtureA,(registry [RS]),,independent (parameter-free triangle),independent,n,repository fixture (pre-manifest),,,S5.9 pressure-node: DE1 'pressure' trace node identity OPEN (basket gauge vs line); fitted kappa=1.196
egidi2024/table2,egidi2024,egidi2024,independent EY/TDS bracket (NOT a p/T response test),independent,y (TDS sigma),digitization (Tim),,,"p,T absorbed into q,tau (egidi); EY 19-23%; cameron reads ~15% (below bracket, documented); rho/phi_s undefined in Eq4 (§5.8)"
