component,relation,scope,gate,outcome
brewer2026.coupled_kappa_t,exploratory_synthesis,Minimum composite porosity (eps_min vs eps0) and the 9-bar Q(t) RMSE vs the measured Waszkiewicz trace (g/s).,gate_kappa_t_composition_diagnostic,supported
brewer2026.coupled_kappa_t,post_fit_reconstruction,"Mass flow Q(t) at 9 bar vs the measured Waszkiewicz trace over the 15-95 s saturated window (RMSE, g/s).",gate_kappa_t_degeneracy,supported
brewer2026.coupled_kappa_t,code_verification,Structural identity of the coupled model's extraction-only Phi(t)/Q(t) closure to the standalone poroelastic component (a code property).,gate_kappa_t_degeneracy,supported
brewer2026.lb_reference,code_verification,Darcy permeability k of a plane-Poiseuille channel in lattice units vs the closed-form analytic value h^2/12.,gate_lb_channel,supported
brewer2026.pack_generator,qualitative_capacity,"Generated solid fraction vs target, grain radius in voxels, and heterogeneity-field mean/std.",gate_pack_generator_admissible,supported
brewer2026.streamtube,within_campaign_held_out,Held-out relative EY deviation (measured yield below the homogeneous-flow model) at the held-out grind.,gate_streamtube_heldout,supported
cameron2020.extraction_bdf,code_verification,"Extraction yield EY (%) via two internal accounting routes plus an inventory upper bound, all computed from the simulation and module constants.",gate_cameron_conservation,supported
cameron2020.extraction_bdf,sign_or_compatibility,"EY(t) morphology (monotonicity, first-half vs second-half rate), fraction of final yield by t=15 s, plateau band, and the sign of the EY-vs-t_shot relation across the grind sweep vs smrke's digitized Fig-3 curve.",gate_smrke2024_fast_extraction_shape,negative
fasano2000_partI.fines_migration,sign_or_compatibility,"Location of the q_inf(p0) peak vs the steepest-slope knee of the beta(q) threshold, plus non-monotonicity of q_inf(p0).",gate_fasano_cor82_nonmonotone,negative
fasano2000_partI.fines_migration,code_verification,"Discharge trace q(t), free-boundary position s(t), global fines mass balance, and q_inf vs injection pressure p0.",gate_fasano_freeboundary,supported
fasano2000_partI.fines_migration,source_curve_reproduction,Peak discharge rate (mL/s) within each of the three experimental segments (direct / off-on resume / inverted).,gate_fasano_reversal_signature,negative
foster2025.infiltration,sign_or_compatibility,"First-liquid / bed-saturation time (s): observed = time cup weight first exceeds 0.5 g; predicted = t_saturate when the modelled front reaches bed depth L, at porosity endpoints 0.173 and 0.322.",gate_infiltration_triangle,supported
foster2025.machine_mode,source_curve_reproduction,"Wetting-front depth s(t) and headspace height H(t) (mm) over the shot, vs the paper's fitted ODE curves and vs digitized CT measurements.",gate_foster_ct_trajectory,negative
foster2025.machine_mode,source_curve_reproduction,"Normalized bed flow Q/Qm = min(Q_p, f(H,s))/Q_m vs experiment time.",gate_foster_fig15_flowmin,negative
foster2025.machine_mode,source_curve_reproduction,"Two scalar times (s): ponding time t_p and saturation time t_s, model-computed vs the authors' reported values.",gate_foster_machine_tp_ts,supported
grudeva2025.reduced,code_verification,"The algebraic form of the capacitance coefficient B, and kappa from Eq 6.14 at nominal card inputs.",gate_grudeva_no_eps_kappa,supported
grudeva2025.reduced,post_fit_reconstruction,"Per-vial solubles mass (g) for vials 3-15, total solubles mass, and existence of the saturated exit plateau.",gate_grudeva_reduced_solver,supported
lee2023.feedback,qualitative_capacity,"Sign of pathway EY divergence, qualitative shape of EY vs grind (peak+decline vs plateau) at two rho_c, and two nondimensional tau_shot values.",gate_lee_feedback_negative_result,negative
liang2021.desorption,source_curve_reproduction,"E_oven (%) and equilibrium E (%) vs brew ratio R_brew (>=3) from Fig 4, plus the inequality K*E_max < cameron_inventory_ceiling.",gate_liang_eoven_ceiling,supported
liang2021.desorption,post_fit_reconstruction,The dimensionless equilibrium desorption product K*E_max from equilibrium TDS vs brew ratio R_brew for full-immersion brewing.,gate_liang_kemax_refit,supported
maille2024.phi_closure,code_verification,"Mean absolute error in theta_v,coarse (dimensionless volume fraction) against the source's published Table 6.3, at one- vs two-cell-layer shell depth, across 17 materials.",gate_maille_e1_shell_depth,supported
maille2024.phi_closure,code_verification,"Count of Eq-6.7 violations, and mean/max absolute difference between theta_v,fines (Table 6.3) and the measured volume fraction below 186 um (Table 5.4), both dimensionless.",gate_maille_phi_closure_consistency,supported
maille2024.phi_closure,sign_or_compatibility,"maille phi computed from cameron's measured binned Fig-2 PSD vs cameron's fitted PHI_S1/(PHI_S1+PHI_S2) fines fraction of solid, per grind setting (both dimensionless), plus their ratio and monotonicity in grind.",gate_maille_phi_split_vs_cameron,supported
maille2024.two_regime,source_curve_reproduction,Per-analyte mean absolute percentage error between the tabulated two-regime model and the digitized Figs 4.6-4.10 normalized concentration curves C_t/C_inf (dimensionless) for material Omega_A.,gate_maille_two_regime_reproduction,supported
maille2024.two_regime,code_verification,"The set of (material, compound, regime) rows whose published 95% CI does not bracket its own point estimate, across all 33 transcribed kinetics rows.",gate_maille_kinetics_ci_flags,supported
maille2024.two_regime,qualitative_capacity,"Fitted lambda_fast/lambda_slow (s) and mixture weight from Eq 6.2 against cameron's model-generated cumulative cup fraction m_cup(t)/m_cup(inf), per EK43 setting, with one- vs two-exponential R2 and the multistart weight span.",gate_maille_timescale_portability_cameron,supported
maille2024.two_regime,qualitative_capacity,"Fitted Eq-6.2 weight, lambda_fast/lambda_slow (s) and their ratio against the stirred-vessel fractional-release curve, per grind, with two- vs one-exponential R2 and band membership.",gate_maille_timescale_portability_roman,supported
