tension_id,lens,lens_letter,difference_type,entity_ids,shared_observable,shared_domain,difference_summary,evidence_basis,candidate_discriminator,data_available,cheap_test_possible,candidate_id,human_status,relation_confidences,source_paths,source_commit
T-0001,calibration_artifact_portability,D,calibration_artifact_producer,model:brewer2026.lb_reference | model:wadsworth2026.inertial,,flow,"brewer2026.lb_reference is a calibration component on stage flow (provenance project_model, evidence code_verification). Declared validity: verification twin; production runs use lb_taichi. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): wadsworth2026.inertial","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,UNKNOWN,I-001,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0002,calibration_artifact_portability,D,calibration_artifact_producer,model:brewer2026.lb_taichi | model:wadsworth2026.inertial,,flow,"brewer2026.lb_taichi is a calibration component on stage flow (provenance project_model, evidence code_verification). Declared validity: CPU/GPU; optional dependency taichi. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): wadsworth2026.inertial","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,UNKNOWN,I-002,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0003,calibration_artifact_portability,D,calibration_artifact_producer,model:brewer2026.pack_generator,,packing,"brewer2026.pack_generator is a calibration component on stage packing (provenance project_model, evidence qualitative_capacity). Declared validity: grain radius >= 10 voxels; columns >= 5 grain diameters for sigma. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): none registered on this stage","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,NO,I-003,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0004,calibration_artifact_portability,D,calibration_artifact_producer,model:fasano2000_partI.fines_migration | model:brewer2026.coupled_kappa_t | model:brewer2026.streamtube | model:mo2023_2.swelling | model:waszkiewicz2025.poroelastic,,bed_dynamics,"fasano2000_partI.fines_migration is a calibration component on stage bed_dynamics (provenance published_port, evidence qualitative_capacity). Declared validity: MECHANISM demonstration / verification strength ONLY (the card's own level for the source). Reproduces the STRUCTURE: mass balance 8.33 closed <1%, q(t) monotone-nonincreasing (Lemma 8.3), s>=s_m (Lemma 8.1), nonmonotone q_inf(p0) with interior peak (Fig 8.6 shape). Does NOT reproduce their exact curve (closures unpublished); enters by GATE not inheritance, like RC-3b. No espresso-data fit possible. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): brewer2026.coupled_kappa_t, brewer2026.streamtube, mo2023_2.swelling, waszkiewicz2025.poroelastic","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,UNKNOWN,I-004,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0005,calibration_artifact_portability,D,calibration_artifact_producer,model:lee2023.feedback | model:wadsworth2026.inertial,,flow,"lee2023.feedback is a calibration component on stage flow (provenance published_port, evidence qualitative_capacity). Declared validity: Cameron 2020 EK43 g=1.1-2.3; grinder maps t_shot(g)/S(g) fitted to Cameron; QUALITATIVE fine-grind-dip hypothesis (c) ONLY. The DECLINE needs an UNPHYSICAL rho_c=798 (2x measured); the physical rho_c=399 gives only a PLATEAU (documented negative result). Not a data-fitting component; brings no new data. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): wadsworth2026.inertial","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,UNKNOWN,I-005,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0006,calibration_artifact_portability,D,calibration_artifact_producer,model:liang2021.desorption | model:cameron2020.extraction_bdf | model:grudeva2025.reduced | model:mo2023_2.coupled_bed | model:pannusch2024.solver | model:romancorrochano2017.extraction,,extraction,"liang2021.desorption is a calibration component on stage extraction (provenance published_port, evidence post_fit_reconstruction). Declared validity: R_brew>=3 (fails at 2); 80-99 C immersion; supplies equilibrium ceiling + oven-dry/retention observable kernel only. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): cameron2020.extraction_bdf, grudeva2025.reduced, mo2023_2.coupled_bed, pannusch2024.solver, romancorrochano2017.extraction","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,UNKNOWN,I-006,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0007,calibration_artifact_portability,D,calibration_artifact_producer,model:maille2024.phi_closure,,grind,"maille2024.phi_closure is a calibration component on stage grind (provenance published_port, evidence code_verification). Declared validity: INSTRUMENT-SPECIFIC: Malvern 100-bin scale, bin 75 ~ 186 um cut, liquid/air hybrid splice. phi from any other PSD representation is a DIFFERENT quantity. Source phi 0.356-0.648 over D[4,3] 537-1540 um (drip-coarse) -- cameron's espresso PSDs give 0.85-0.94, an EXTRAPOLATION. Per-bin PSD arrays are UNPUBLISHED, so Eqs 6.8-6.9 cannot be run end-to-end from the source; the E1 gate uses the D[4,3] single-diameter approximation. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): none registered on this stage","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,NO,I-007,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0008,calibration_artifact_portability,D,calibration_artifact_producer,model:maille2024.two_regime | model:cameron2020.extraction_bdf | model:grudeva2025.reduced | model:mo2023_2.coupled_bed | model:pannusch2024.solver | model:romancorrochano2017.extraction,,extraction,"maille2024.two_regime is a calibration component on stage extraction (provenance published_port, evidence source_curve_reproduction). Declared validity: stirred atmospheric BATCH reactor at 91.5 C, 0.028 g/mL, single Colombian lot, two roasts, five species, 5-600 s with the first ~4 s unobserved. NO bed, NO pressure, NO flow, NO permeability, NO EY, NO TDS -- it cannot yield a yield, and ShotResultState is unreachable. Grind is DRIP-COARSE (D[4,3] 537-1540 um); any use at espresso grind is EXTRAPOLATION. lambda are per-material curve fits, not material properties -- they transfer nowhere on their own. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): cameron2020.extraction_bdf, grudeva2025.reduced, mo2023_2.coupled_bed, pannusch2024.solver, romancorrochano2017.extraction","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,UNKNOWN,I-008,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0009,calibration_artifact_portability,D,calibration_artifact_producer,model:moroney2016.surrogate | model:cameron2020.extraction_bdf | model:grudeva2025.reduced | model:mo2023_2.coupled_bed | model:pannusch2024.solver | model:romancorrochano2017.extraction,,extraction,"moroney2016.surrogate is a calibration component on stage extraction (provenance published_port, evidence qualitative_capacity). Declared validity: saturated bed; eps=0.127 (~13% truncation); Fig 6 reproduction QUALITATIVE (plateau + wash-through timing, not the tail). POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): cameron2020.extraction_bdf, grudeva2025.reduced, mo2023_2.coupled_bed, pannusch2024.solver, romancorrochano2017.extraction","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,UNKNOWN,I-009,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0010,calibration_artifact_portability,D,calibration_artifact_producer,model:pannusch2024.closures | model:cameron2020.extraction_bdf | model:grudeva2025.reduced | model:mo2023_2.coupled_bed | model:pannusch2024.solver | model:romancorrochano2017.extraction,,extraction,"pannusch2024.closures is a calibration component on stage extraction (provenance published_port, evidence code_verification). Declared validity: T 80-98 C, Q 1-3 mL/s; fitted Sherwood params lack generality; Wilke-Chang over-predicts absolute D but is the model's own law. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): cameron2020.extraction_bdf, grudeva2025.reduced, mo2023_2.coupled_bed, pannusch2024.solver, romancorrochano2017.extraction","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,UNKNOWN,I-010,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
