evidence_id,component_id,material_type,official_title,publisher_or_host,canonical_identifier,canonical_url,access_date_utc,license_title,license_identifier,license_url,license_scope,covered_material,excluded_material,attribution_requirements,share_alike_requirements,noncommercial_restriction,no_derivatives_restriction,database_or_dataset_terms,source_hash,archived_copy_status,evidence_role,notes
CAMERON_ELSEVIER_METADATA,cameron2020.extraction_bdf,article,Systematically Improving Espresso: Insights from Mathematical Modeling and Experiment,Elsevier,10.1016/j.matt.2019.12.019,https://api.elsevier.com/content/article/pii/S2590238519304102,2026-08-17,Elsevier user licence,LICENSE_NOT_STATED,http://www.elsevier.com/open-access/userlicense/1.0/,"Non-commercial access, download, copy, translation, text/data mining and limited extraction; redistribution, display and adaptation of articles are excluded by the stated terms.",Version of record,Separate code and separately licensed material,"Authors, article title, journal, DOI and publisher acknowledgement",none stated,yes,article adaptation excluded,not established,28a9a61d60f58c2caebece5594833933bf951869df97bc643ae3548593e7c7f2,private evidence bundle; metadata only,controlling_primary,The official record names the user licence; it is not an SPDX licence.
CAMERON_SUPPLEMENT,cameron2020.extraction_bdf,supplementary_information,Supplemental Information for Systematically Improving Espresso,Elsevier,S2590238519304102-mmc1,https://ars.els-cdn.com/content/image/1-s2.0-S2590238519304102-mmc1.pdf,2026-08-17,Elsevier user licence associated with article record,LICENSE_NOT_STATED,http://www.elsevier.com/open-access/userlicense/1.0/,No separate affirmative redistribution licence was identified for SI Tables S1-S5.,Supplement accessible from official article record,Public redistribution of tables not established,article attribution,none stated,yes,adaptation not affirmatively permitted,LICENSE_NOT_STATED,37530ec8c450c6fe5b231a7d4e3b65347555454b366ed4730ec106a4fb56775f,private evidence bundle; not committed,controlling_primary,SI identifies the authors' Espresso code repository and contains the transcribed tables.
CAMERON_UPSTREAM_MIT,cameron2020.extraction_bdf,upstream_code,jamiemfoster/Espresso,GitHub,github.com/jamiemfoster/Espresso,https://github.com/jamiemfoster/Espresso,2026-08-17,MIT License,MIT,https://github.com/jamiemfoster/Espresso/blob/master/LICENSE,Repository code at reviewed master state,Distinct MATLAB implementation,Cameron SI tables not present in full in this repository,retain copyright and permission notice,none,none,none,not applicable,6a778055e83f687f8c51204aefc48c5c3b9ccfe3e242d2a8547ff474ee562cdf,license copy in private evidence bundle,controlling_primary,Comparison found a distinct MATLAB implementation; no copied upstream code identified in Puckworks.
CAMERON_PUCKWORKS_PROVENANCE,cameron2020.extraction_bdf,repository_history,Puckworks extraction_bdf implementation and git history,Puckworks,c54a2a6b1dd738a62c3ec08321f0e5273646b286,https://github.com/trbrewer/puckworks/blob/ff44b502cfda06610dd33c2cd149456b46bc9784/puckworks/models/cameron2020/extraction_bdf.py,2026-08-17,Puckworks repository licence for first-party code; third-party data separately governed,MIT,https://github.com/trbrewer/puckworks/blob/ff44b502cfda06610dd33c2cd149456b46bc9784/LICENSE,First-party Python implementation only,Python solver structure,Embedded SI-derived arrays,project notice plus source citations,none,none for first-party code,none for first-party code,separate review required,83e0092d416793291d7f229988744a7e783ccf540b1da9c05d1fd077661d63d9,bound repository source,controlling_primary,Full-file blame and introduction history support first-party authorship and independent software structure.
WADSWORTH_CROSSREF_LICENSE,wadsworth2026.permeability,article,A model for the permeability of coffee pucks validated using X-ray computed micro-tomography,Crossref publisher-deposited metadata,10.1098/rsos.252031,https://api.crossref.org/works/10.1098/rsos.252031,2026-08-17,Creative Commons Attribution 4.0 International,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,Version of record from publication date,Article and licensed article content,Separate downloads whose official record does not attach the same licence; raw XCT outside review,"credit, licence link and indication of changes",none,none,none,associated raw archives not reviewed,19fedd6218f6650988043642d97aae51e7feb4fd17688fb3dccfefbcc499de60,private evidence bundle metadata copy,corroborating_authoritative,Exact DOI metadata deposited by the publisher.
WADSWORTH_ROYAL_SOCIETY_POLICY,wadsworth2026.permeability,publisher_policy,Royal Society open access policy,The Royal Society,royal-society-open-access-2026,https://royalsociety.org/journals/open-access/,2026-08-17,Creative Commons Attribution for 2026 content,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,Royal Society Open Science gold-open-access content,2026 journal content,third-party material separately identified,"credit, licence link, changes indicated",none,none,none,not a blanket licence for separate archives,PRIMARY_PAGE_CAPTURE_FAILED_CONNECTION_RESET,official page inspected; local capture unavailable,controlling_primary,Publisher policy corroborates the DOI record; separate raw XCT is excluded.
WADSWORTH_PUCKWORKS_PROVENANCE,wadsworth2026.permeability,code_and_transcribed_table,Puckworks permeability implementation and Table 1 transcription,Puckworks,c54a2a6b1dd738a62c3ec08321f0e5273646b286,https://github.com/trbrewer/puckworks/tree/ff44b502cfda06610dd33c2cd149456b46bc9784/puckworks/models/wadsworth2026,2026-08-17,MIT for first-party code; CC BY 4.0 for transcribed source values,MIT AND CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,Current function and committed Table 1 transcription,First-party code and two bounded table files,raw XCT and future downloads,article attribution and transcription/change indication,none,none,none,raw geometry excluded,8b4ecd5195d5c35ccb7d5c879cf984a7ff4389ccd61e67f38a667cb2997f9758; table bff06a7d7e815926250a6760db549f181212017f230976180270e30db510806b,bound repository source,controlling_primary,History supports independent equation implementation; no upstream code identified.
FOSTER_CROSSREF_LICENSE,foster2025.infiltration,article,Dynamics of liquid infiltration into an espresso bed using time-resolved micro-computed tomography: Insights from experiment and modeling,Crossref publisher-deposited metadata,10.1063/5.0245167,https://api.crossref.org/works/10.1063/5.0245167,2026-08-17,Creative Commons Attribution-NonCommercial 4.0 International,CC-BY-NC-4.0,https://creativecommons.org/licenses/by-nc/4.0/,Version of record from publication date,Article content for noncommercial reuse,"separate code, data, private traces and third-party content unless separately licensed","credit, licence link and indication of changes",none,yes,none for noncommercial adaptations,separate dataset licence not established,f54997dcba10b765955fa7de4e5f4c86f89604e21684678a9654f048f4bcf148,private evidence bundle metadata copy,corroborating_authoritative,Official article page was inaccessible to automated capture; exact publisher-deposited DOI metadata is retained.
FOSTER_AIP_POLICY,foster2025.infiltration,publisher_policy,AIP Publishing open access policy,AIP Publishing,aip-open-access-policy,https://publishing.aip.org/resources/researchers/open-science/open-access/,2026-08-17,Creative Commons Attribution-NonCommercial 4.0 International,CC-BY-NC-4.0,https://creativecommons.org/licenses/by-nc/4.0/,Explains AIP's CC BY-NC reuse terms,AIP articles carrying that licence,separate code/data not expressly covered,appropriate credit and licence link,none,yes,none for noncommercial adaptations,not established,PRIMARY_PAGE_CAPTURE_FAILED_HTTP_403,official page inspected; automated capture unavailable,controlling_primary,Policy does not itself establish a licence for a separate fixture.
FOSTER_PUCKWORKS_PROVENANCE,foster2025.infiltration,code_and_input_paths,"Puckworks infiltration implementation, fixture and history",Puckworks,c54a2a6b1dd738a62c3ec08321f0e5273646b286,https://github.com/trbrewer/puckworks/blob/ff44b502cfda06610dd33c2cd149456b46bc9784/puckworks/models/foster2025/infiltration.py,2026-08-17,MIT for first-party code; fixture outward-use licence not established,MIT,https://github.com/trbrewer/puckworks/blob/ff44b502cfda06610dd33c2cd149456b46bc9784/LICENSE,First-party NumPy implementation only,Closed-form implementation and synthetic-input path,"DE1 fixture, private traces, Cameron table-backed conversion and source datasets",article and project citations,none for first-party code,article-derived reuse is noncommercial,none for first-party code,fixture permission not publicly documented,bed1e3b9e7546f805f4341578ad4e6258a9d0005f483096bbe57381dd95a5cc9; fixture 0c3b9402c381df72dde73a901354f00a1b2425b7581b8206425ecf56c179405c,bound repository source,controlling_primary,History supports independent code. Current policy cannot scope output clearance to synthetic inputs without over-clearing other paths.
